"X","created_at","text","user_id","user_follower_count","sentiment_score","sentiment","group"
5799,2021-10-28 15:52:15,"Hey @elonmusk you wanted a greener and faster Doge? Here it is <U+0001F60F><U+0001F525>",1359953193745154048,136,0.6,"positive","50-200"
5816,2021-10-28 15:52:21,"@elonmusk fucking with my profile pic?",979397952,1055,-1,"negative","1000-10000"
5879,2021-10-28 15:52:50,"Pink pills 220mg, lots of tesla pills 250mg and lots of ketamine. https://t.co/M86muv2Lr2",1028508706370187264,453,0,"neutral","200-1000"
5951,2021-10-28 15:53:18,"@MorganaNFT @iApoorvAgarwal @dogetomarsshop @elonmusk 

Check these",1375660887181127680,12,0,"neutral","0-50"
5982,2021-10-28 15:53:26,"@SpaceX @elonmusk Doge <U+0001F680><U+0001F680>",921975937,26,0,"neutral","0-50"
6275,2021-10-28 15:55:08,"@ShibainuCoin @elonmusk Burn some tokens #shibainu",1445418001810006016,0,-0.4,"negative","No follower"
6365,2021-10-28 15:55:41,"@Tesla Amazing Innovation for e-commerce,
https://t.co/LUlZ3Qr25n https://t.co/KgmrwwcLde",76547264,13,1.25,"positive","0-50"
6411,2021-10-28 15:55:58,"omg there's a new tesla garage near me",956445410,2297,0.8,"positive","1000-10000"
6654,2021-10-28 15:57:40,"#doge DOGECOIN ALL TIME HIGH COMING @elonmusk --Do you want to buy Tesla with $Doge? Of course you do and you will be able to buy it $DOGE $BTC #Bitcoin $ETH $XRP $SHIB $ADA $DOT $USDT $BNB $SOL $LUNA $UNI $LTC $AVAX $LINK $ALGO $MATIC $XLM $ATOM $VET $FIL $TRX  #dogearmy https://t.co/FvTAKkEXKs",1559109584,116,0,"neutral","50-200"
6701,2021-10-28 15:58:02,"@elonmusk @atNickVega @CNBCMakeIt @jayleno Elon talk about Shiba Coin https://t.co/sVdDYMTyNi",1258778618748116992,7,0.4,"positive","0-50"
6763,2021-10-28 15:58:27,"@elonmusk @ecommerceshares Best project ever! Retweet &amp; like! 

Keep your eyes on my latest air/drop/event!!!!

Join: .getshibnow.com",705894204,339,1.25,"positive","200-1000"
6787,2021-10-28 15:58:41,"@vladtenev @RobinhoodApp @sriramk @a16z @elonmusk @RobinhoodApp @AskRobinhood @ShytoshiKusama @VitalikButerin @vladtenev @JeffBezos @amazon  #SHIB #SHIBARMY #shiba #shiba #shibainu #shibainu #ShibaCoin #SHIBDELETEAZERO #ShibaSwap #shibainu #ShibaCoin #Shibarium #shibaburn hey  wen shiba??? https://t.co/CdYaRcwcqN",1400789155169329152,82,0,"neutral","50-200"
6897,2021-10-28 15:59:24,"@galdos_ben @BitcoinMagazine @BabyDogeCoin @elonmusk Babydoge coin",1.229481082481e+18,37,0,"neutral","0-50"
6922,2021-10-28 15:59:35,"Check out $emax. See the @ethereum_max chart and read the whitepaper, this is about to blow https://t.co/sgBVFGfjnC
#crypto #cryptocurrency #blockchain #ethereum #investor #emax #DeFi #altcoin #altseason #cryptotwitter #EthereumMax #FFTB https://t.co/MZZy3s7iQt",1242904071549390848,131,-0.4,"negative","50-200"
6931,2021-10-28 15:59:40,"@SAFEDRIVE19 @PolestarCars @Tesla Hello please DM me for promotion thanks",1441458279998058496,191,2.1,"positive","50-200"
6965,2021-10-28 15:59:58,"@The_Blck_Swan @dkbgeek @MichaelVSmith3 @LyftGyft @dictionaryhill From these perspectives, BlueCruise is superior and safer compared to AP/FSD.

Tesla pretends to be better by taking risks on behalf of driver. And when that taken risk results in an accident, they blame the driver.",1354336928259207168,29,-0.55,"negative","0-50"
7089,2021-10-28 16:00:40,"@elonmusk @tesla_raj K.I.I.T",278181240,0,0,"neutral","No follower"
7204,2021-10-28 16:01:31,"@AnishA_Moonka People said the same thing about GM, Volkswagen, Toyota, Honda vs Tesla. If they were competitive, they already would have had good market share, which they do not. IMO their arrogance will be their downfall.",1264119388879253504,360,0.5,"positive","200-1000"
7268,2021-10-28 16:01:57,"@CryptoIslandInc @elonmusk @atNickVega @CNBCMakeIt @jayleno We want to be the first and the best of our kind . Energy DEX , CROSSCHAIN DEX , SYNTHETIC ASSETS TRADING , and many more . Choose #ENEDEX <U+0001F525>
@ENEDEX_HQ
https://t.co/XfdZQ0uGih",1453270666749386752,36,1.5,"positive","0-50"
7269,2021-10-28 16:01:57,"@PMaibram @crypto688 @elonmusk Hahaha, okay perhaps we won't.",1359868378974875648,413,0,"neutral","200-1000"
7290,2021-10-28 16:02:04,"@buffdogecoin @elonmusk @MattWallace888 Buy...buy..and buy
It's make you billionare in the next month.

0xb84DC161Fc9102a2fe565A0781e949CF27E32aAB",1381092411628118016,546,0,"neutral","200-1000"
7299,2021-10-28 16:02:05,"@elonmusk @ecommerceshares Hey Elon, i hope you will make other models more ""compact"" for the Europoors",1374785055814455296,2,0.9,"positive","0-50"
7304,2021-10-28 16:02:06,"@scottmelker The old ones are https://t.co/MAXw2iwBnV earn You have to keep up with the new age.Tomorrow May Be Too Late

#Metaverse

#Ceek <U+0001F525><U+0001F680>

(On The #Hotbit Exchange)

#OKEx #Binance #Huobi #Kucoin #Gateio #Coinbase #Ftx #Bitcoin #Ethereum #crypto #floki #doge #shib
@cz_binance @elonmusk",762750175244849152,3,0.8,"positive","0-50"
7442,2021-10-28 16:03:09,"#NewRelease: The Mysterious Mr #Tesla #Documentary On #NikolaTesla #DVD #MP4 #VideoDownload #USBFlashDrive 
https://t.co/Z6UmN5lioq https://t.co/s9kNXuh5sY",745712790699122688,1137,-0.4,"negative","1000-10000"
7634,2021-10-28 16:04:29,"@JonBryant421 @TSLAFanMtl I apologize for the blanket ""Q"" statement. If this is the first time you're calling it a bubble or saying Tesla sales will drop. Fine. I guess we'll see. If this isn't the first time you've predicted either....",781177037834768384,49,1.05,"positive","0-50"
7644,2021-10-28 16:04:31,"@elonmusk @ecommerceshares Who likes to change z people for the better through cryptocurrency
Blockchain wallet:                         0x5B3A94A12cC972759f519295bE0B5Ef2169e400f",1197843710844833792,44,1.3,"positive","0-50"
7688,2021-10-28 16:04:53,"@elonmusk @BillyM2k Done<U+0001F44D> promise @elonmusk",725029030420832256,11,0.75,"positive","0-50"
7712,2021-10-28 16:05:04,"@elonmusk @ecommerceshares tweet as doge now dude",1452685620862717952,0,0,"neutral","No follower"
7731,2021-10-28 16:05:12,"@AwakeningMass I already own a @Tesla and I'm a.was a @Jeep guy! They are amazing. And after 34,000 miles I can say I love it even more I drive it!",354497312,1873,1.25,"positive","1000-10000"
7806,2021-10-28 16:05:44,"Strong project
@elonmusk
@kanyewest
@justinsuntron
@florsbeny 
@BenPhillipsUK 
 #SQUID #SquidGameBsc
#Airdrop #Crypto #Airdrops #cryptocurrency #giveaway",1426877180630417408,1,0.5,"positive","0-50"
7963,2021-10-28 16:06:42,"@galdos_ben @BitcoinMagazine @BabyDogeCoin @elonmusk BABY DOGE <U+0001F4C8><U+0001F525><U+2764><U+FE0F> https://t.co/yIovuXo9jf",1424803339733176320,3,0.6,"positive","0-50"
7976,2021-10-28 16:06:53,"@WeeBint @AllDeepLearning @RGVaerialphotos @elonmusk Your car will drive you through the mars tunnels <U+0001F687>",1046473154225352704,265,0,"neutral","200-1000"
8009,2021-10-28 16:07:07,"@13rendan88 @elonmusk @WholeMarsBlog @Kristennetten @heydave7 on the left side <U+0001F605>",1453690718933766144,0,0,"neutral","No follower"
8030,2021-10-28 16:07:12,"@krakenfx @elonmusk @RobinhoodApp @AskRobinhood @ShytoshiKusama @VitalikButerin @vladtenev @JeffBezos @amazon  #SHIB #SHIBARMY #shiba #shiba #shibainu #shibainu #ShibaCoin #SHIBDELETEAZERO #ShibaSwap #shibainu #ShibaCoin #Shibarium #shibaburn hey  wen shiba??? https://t.co/ZwccafiI31",1400789155169329152,82,0,"neutral","50-200"
8695,2021-10-28 16:12:20,"@rayd1475 @elonmusk @ecommerceshares Very true",1329548927989911552,37,0.5,"positive","0-50"
8736,2021-10-28 16:12:42,"@BitcoinMagazine @elonmusk Elon never attended Wharton...or did he?<U+0001F914>",1395817447824007168,2,0,"neutral","0-50"
8955,2021-10-28 16:14:38,"Trending on #LunarCrush:

""#shibainucoin Hits New All-Time High, Becomes a Top-10 #cryptocurrency <U+0001F911><U+0001F680>

<U+2764><U+FE0F> Love and enjoy the moment! <U+267B><U+FE0F> Come @elonmusk join us!! Own a $SHIB and..."" via @ShibainuCoin

Top coin mentions
$leash $bone

https://t.co/nsAwiTuvvV #LunarShare",1452293660930945024,0,2.95,"positive","No follower"
9004,2021-10-28 16:14:59,"@RBReich Doubt it has anything to do with cost of labor.  Tesla base salaries are nearly 2x what GM pays for the same work.

https://t.co/f2W6MaMC40",18710136,130,-0.9,"negative","50-200"
9430,2021-10-28 16:18:27,"@MorningBrew @elonmusk Thats my Brother.<U+0001F62D><U+0001F602><U+0001F602> https://t.co/6Vdc243VEu",886629746712485888,12,0.4,"positive","0-50"
9461,2021-10-28 16:18:35,"@elonmusk @itsALLrisky @TeslaHype @Teslarati @ResidentSponge Dats right. https://t.co/xOCGahQaB7",1447683353142984704,31,0.8,"positive","0-50"
9650,2021-10-28 16:20:21,"@doge1moon_CEO @elonmusk @Tesla #doge #doge #doge go to moon <U+0001F680><U+0001F680>
Buy buy and buy
#hold #hold and #hold",1447081418945822720,8,0,"neutral","0-50"
9656,2021-10-28 16:20:23,"@elonmusk @ecommerceshares BabyDogeCoin, it's definitely Fun <U+0001F929> with an amazing community, that loves <U+2764><U+FE0F> helping dogs in need 
<U+0001F43E><U+0001F436><U+0001F43E><U+0001F436><U+0001F9BE>
@BabyDogeCoin @elonmusk #BabyDogeCoin #charity #savingdogs <U+0001F43E><U+0001F436> #card <U+0001F4B3> #Bitcoin #buythedip #ETH #CryptocurrencyNews #Cryptocurency #BabyDogeArmy  #NFTcollection https://t.co/8QsNITEL3N",1413564956859977728,21,4.15,"positive","0-50"
9681,2021-10-28 16:20:35,"@elonmusk @Teslarati @ResidentSponge Would you ever work with Mercedes again ?",1155474605538205696,1125,0.25,"positive","1000-10000"
9704,2021-10-28 16:20:47,"@StarbaseSUNI @elonmusk @CryptoshampooO X MINIFLOKIADA<U+0001F4A5> invites you to our AMA event <U+2757><U+FE0F> <U+0001F973>
<U+2705>let's have fun and laugh! Join us and Participate <U+0001F602><U+0001F973>
<U+2757><U+FE0F>Don't miss out and see the event details <U+2757><U+FE0F>
<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>
Thursday 28th Oct.
1 PM EST / 5PM UTC.
TG: https://t.co/U9ehYeH67q
#ShampooLounge #AMA. https://t.co/hHsvitvHRN",1453401510696534016,0,1.5,"positive","No follower"
10028,2021-10-28 16:23:23,"@TheMoonCarl I swear I'm so close to unfollowing you, you were so mad at Elon musk having tweets on crypto and saying he was manipulating the market and your even worse for being manipulative #Smh",1445422022750883840,15,-2.9,"negative","0-50"
10188,2021-10-28 16:24:41,"@DeItaone @Jedi_ant Can Tesla service that many cars? Ubers and rentals get driven alot, and they are going to need a lot of servicing.",39464821,58,0,"neutral","50-200"
10299,2021-10-28 16:25:38,"@Haim71159428 @SpaceX @elonmusk Do u ask what the next SHIB? Absolutely BUFF DOGE COIN bro. Here's why;

<U+0001F525>1000x Gems

<U+0001F525>BUFF DOGE COIN $DOGECOIN

<U+0001F525>The New Gold

<U+0001F525>Buy now is never too late

<U+0001F525>Autostaking system while Holding

The next of #ShibaCoin

@buffdogecoin

#BuffdogeCoin
#Buffdogecoinarmy",1254411007667113984,448,1.65,"positive","200-1000"
10317,2021-10-28 16:25:47,"@Beniko26020660 @elonmusk Top airdrop !!! New FORK coin from the collaboration of Musk and Satoshi !!! All information is here
https://t.co/H7KWnJmNBf",1444695935817297920,2,1.2,"positive","0-50"
10374,2021-10-28 16:26:14,"@elonmusk pls give me some money I'm broke",1041041292158033920,570,-0.15,"negative","200-1000"
10443,2021-10-28 16:26:43,"@the_antrik @Tesla More precise and yet harder to convey the impact to the layman.",17000343,581,0.5,"positive","200-1000"
10616,2021-10-28 16:28:09,"Elon Musk liked a tweet from Archillect https://t.co/bgVr0WNz31",1347985766497050624,17772,0.5,"positive","10000+"
10724,2021-10-28 16:29:07,"@pcz852 @KamVTV @TheFirstonTV Was his comment stupid = yes. 

But I just drove my Tesla on a 600 mile trip, and I can almost charge it completely in 30 min.

In those 30 min I'm grabbing food, coffee, bathroom break. So it doesn't add as much time as one would think.

Do I trust our gov to do it = no.",151926347,1715,0.85,"positive","1000-10000"
10826,2021-10-28 16:30:00,"@elonmusk @Teslarati @ResidentSponge Gm Anf the federal government aldo ripped off the s stock and bonndholdrsOf the equity they should've had when Jim emerge from Bankruptcy instead of mom had to give them to the UAW",1220546466063835136,6,-0.75,"negative","0-50"
